Occupations by 5 Digit NOC,Top 10 Fastest Growing Occupations (2024-2029)
80020 Managers in agriculture,11
75110 Construction trades helpers and labourers,10
"65201 Food counter attendants, kitchen helpers and related support occupations",10
95106 Labourers in food and beverage processing,10
"94140 Process control and machine operators, food and beverage processing",8
60030 Restaurant and food service managers,9
62010 Retail sales supervisors,7
"92012 Supervisors, food and beverage processing",4
72106 Welders and related machine operators,3
82030 Agricultural service contractors and farm supervisors,2
