Local Work Force,Total
"11 Agriculture, forestry, fishing and hunting",750
"21 Mining, quarrying, and oil and gas extraction",220
22 Utilities,45
23 Construction,285
31-33 Manufacturing,160
41 Wholesale trade,85
44-45 Retail trade,290
48-49 Transportation and warehousing,90
51 Information and cultural industries,0
52 Finance and insurance,55
53 Real estate and rental and leasing,15
"54 Professional, scientific and technical services",145
55 Management of companies and enterprises,0
"56 Admin and support, waste management and remediation services",75
61 Educational services,165
62 Health care and social assistance,255
"71 Arts, entertainment and recreation",30
72 Accommodation and food services,50
81 Other services (except public administration),165
91 Public administration,90
